2005-03-18, 08:53:14, student020, Forbidden, welcome.hp-ww.com/country/au/en/img/n4_welcome/ent/05formula1b1a.gif
2005-03-18, 09:21:37, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:21:37, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:N&p=aumail&l=N&c=rm
2005-03-18, 09:21:37, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:21:37, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:21:38, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:21:38, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:24:01, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:24:02, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:N&p=aumail&l=N&c=rm
2005-03-18, 09:24:02, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:24:02, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:24:02, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:24:03, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:24:27, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:24:28, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:N&p=aumail&l=N&c=rm
2005-03-18, 09:24:28, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:24:28, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:24:28, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:24:28, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:24:39, student012, Forbidden, au.adserver.yahoo.com/a?f=150509032:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:24:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509032:N&p=aumail&l=N&c=rm
2005-03-18, 09:24:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509032:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:24:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509032:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:24:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509032:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:24:41, student012, Forbidden, au.adserver.yahoo.com/a?f=150509032:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:24:50, student083, Forbidden, n3349ad.doubleclick.net/ad/N3349.msn/B1557249.5;dcadv=844751;sz=728x90;code=98360
2005-03-18, 09:25:10, psimpson, Forbidden, adserver.eham.net/cgi-bin/getimage.cgi/TopLeft?REGION=TopLeft
2005-03-18, 09:25:11, psimpson, Forbidden, adserver.eham.net/cgi-bin/getimage.cgi/Default?REGION=Default
2005-03-18, 09:25:11, psimpson, Forbidden, adserver.eham.net/cgi-bin/getimage.cgi/unique?REGION=LowerLeft
2005-03-18, 09:25:28, psimpson, Forbidden, adserver.eham.net/cgi-bin/getimage.cgi/Default?REGION=Default
2005-03-18, 09:25:28, psimpson, Forbidden, adserver.eham.net/cgi-bin/getimage.cgi/TopLeft?REGION=TopLeft
2005-03-18, 09:25:28, psimpson, Forbidden, adserver.eham.net/cgi-bin/getimage.cgi/unique?REGION=LowerLeft
2005-03-18, 09:27:49, psimpson, Forbidden, include.ebaystatic.com/js/v/au/homepage.js
2005-03-18, 09:27:52, psimpson, Forbidden, include.ebaystatic.com/aw/pics/au/css/homepage.css
2005-03-18, 09:27:53, psimpson, Forbidden, include.ebaystatic.com/js/v/au/ebaybody.js
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topLeft_12x12.gif
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/eBayLogoTM.gif
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topRight_12x12.gif
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/buy.gif
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/sell.gif
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/myebay.gif
2005-03-18, 09:27:53, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/comm.gif
2005-03-18, 09:27:54, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/help.gif
2005-03-18, 09:27:54, psimpson, Forbidden, include.ebaystatic.com/js/v/au/homepagebody.js
2005-03-18, 09:27:54, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/sell/hub/imgSellHub_10x12.gif
2005-03-18, 09:27:54, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/home/ONS189_hp_head3.gif
2005-03-18, 09:27:54, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/x.gif
2005-03-18, 09:27:54, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/homepage/star.gif
2005-03-18, 09:27:55, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/tbx/bltBlue.gif
2005-03-18, 09:27:55, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/home/hp_footer_au.gif
2005-03-18, 09:27:55, psimpson, Forbidden, include.ebaystatic.com/js/v/au/ebayfooter.js
2005-03-18, 09:27:55, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/s.gif
2005-03-18, 09:28:12, psimpson, Forbidden, include.ebaystatic.com/aw/pics/css/finding/borders.css
2005-03-18, 09:28:12, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/ebaybody.js
2005-03-18, 09:28:12, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/s.gif
2005-03-18, 09:28:12, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/eBayLogoTM.gif
2005-03-18, 09:28:12, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/myebay.gif
2005-03-18, 09:28:12, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/comm.gif
2005-03-18, 09:28:12, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/buyOn.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topRight_12x12.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/help.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/sell.gif
2005-03-18, 09:28:13, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/search/findingbody.js
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/listings/allitems_endLightTab_14x29.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/listings/allitems_midLightLight_14x29.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/listings/allitems_firstDark_6x29.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/listings/allitems_midDarkOnLight_14x29.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/questAssets/leftNav/bulletGray_3x3.gif
2005-03-18, 09:28:13, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/listings/subHdrOrange_4x22.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/iconStore_20x20.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/buy/byrTools/compShop/arrow_small.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/sort_up.gif
2005-03-18, 09:28:14, psimpson, Forbidden, thumbs.ebaystatic.com/pict/57606253928080_0.jpg
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/buy/byrTools/compShop/end_small.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/paypal/logo_paypalPPBuyerProtection_28x16.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/icon/iconPic_20x20.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/bin_15x54.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/spacer.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/storelogo_36x14.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/spacer.gif
2005-03-18, 09:28:14, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/x.gif
2005-03-18, 09:28:14, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/ebayfooter.js
2005-03-18, 09:28:15, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topLeft_12x12.gif
2005-03-18, 09:28:21, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/viewitem.js
2005-03-18, 09:28:21, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/ebaybody.js
2005-03-18, 09:28:22, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/s.gif
2005-03-18, 09:28:22, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topRight_12x12.gif
2005-03-18, 09:28:22, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/buyOn.gif
2005-03-18, 09:28:22, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/sell.gif
2005-03-18, 09:28:22, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/myebay.gif
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/comm.gif
2005-03-18, 09:28:23, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/viewitembody.js
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/help.gif
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/x.gif
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/icon/iconLtArrow_20x20.gif
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/icon/iconDownArrow_20x20.gif
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/iconYellowStar_25x25.gif
2005-03-18, 09:28:23, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/iconPurpleStar_25x25.gif
2005-03-18, 09:28:24, psimpson, Forbidden, pics.ebaystatic.com/aw/pics//aboutme-small.gif
2005-03-18, 09:28:24, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/sitewide/leftLine_16x3.gif
2005-03-18, 09:28:24, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/psIcon_50x25.gif
2005-03-18, 09:28:24, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/storelogo_36x14.gif
2005-03-18, 09:28:24, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/paypal/imgPp_35x20.gif
2005-03-18, 09:28:26, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/paypal/logoPaypal.gif
2005-03-18, 09:28:26, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/paypal/iconVisa.gif
2005-03-18, 09:28:27, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/help/cip.gif
2005-03-18, 09:28:27, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/paypal/iconMaster.gif
2005-03-18, 09:28:27, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/ebayfooter.js
2005-03-18, 09:28:27, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topLeft_12x12.gif
2005-03-18, 09:28:27, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/eBayLogoTM.gif
2005-03-18, 09:28:27, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/iconStore_20x20.gif
2005-03-18, 09:28:28, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/new.gif
2005-03-18, 09:28:29, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/bullet_blk.gif
2005-03-18, 09:28:29, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/paypal/open.gif
2005-03-18, 09:28:29, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/globals.js
2005-03-18, 09:28:29, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/cookies.js
2005-03-18, 09:28:30, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/paypal/close.gif
2005-03-18, 09:28:30, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/common_functions.js
2005-03-18, 09:28:30, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/mips/merch_view_item.js
2005-03-18, 09:28:30, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/getparams.js
2005-03-18, 09:28:30, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/lib/features/myebay/crossPromoPrefs.js
2005-03-18, 09:28:30, psimpson, Forbidden, thumbs.ebaystatic.com/pict/5176016532.jpg
2005-03-18, 09:28:30, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/storefronts/storebuilder/imgStrsWidgtLftCnr_11x11.gif
2005-03-18, 09:28:30, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/myebay/BidNow_graphic.gif
2005-03-18, 09:28:30, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/storefronts/storebuilder/img_ebayMerch_216x25.gif
2005-03-18, 09:28:30, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/icon/storelogo_36x14.gif
2005-03-18, 09:28:31, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/homepage/spacer.gif
2005-03-18, 09:28:31, psimpson, Forbidden, thumbs.ebaystatic.com/pict/5963950933.jpg
2005-03-18, 09:28:31, psimpson, Forbidden, thumbs.ebaystatic.com/pict/5963950985.jpg
2005-03-18, 09:28:31, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/storefronts/storebuilder/imgStrsWidgtRtCnr_11x11.gif
2005-03-18, 09:28:31, psimpson, Forbidden, thumbs.ebaystatic.com/pict/5761300901.jpg
2005-03-18, 09:28:31, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/s.gif
2005-03-18, 09:28:31, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/stats/_base/ssObjs.js
2005-03-18, 09:28:31, psimpson, Forbidden, include.ebaystatic.com/aw/pics/js/stats/_base/ssLoad.js
2005-03-18, 09:28:58, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/viewitem.js
2005-03-18, 09:28:59, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/ebaybody.js
2005-03-18, 09:28:59, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topLeft_12x12.gif
2005-03-18, 09:28:59, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/navbar/topRight_12x12.gif
2005-03-18, 09:28:59, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/sell.gif
2005-03-18, 09:28:59, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/help.gif
2005-03-18, 09:28:59, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/myebay.gif
2005-03-18, 09:29:00, psimpson, Forbidden, include.ebaystatic.com/js/e397/au/viewitembody.js
2005-03-18, 09:29:00, psimpson, Forbidden, pics.ebaystatic.com/aw/pics/au/navbar/buyOn.gif
